Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity  %,Daily Mean Total Cloud (oktas),Daily Mean Visibility (dam),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
04/06/2015,16.1,0.8,14.4,6,Light,19,83,0,3700,1024,140,SE,160,SSE
05/06/2015,19.6,tr,5.3,9,Light,25,86,3,2600,1016,240,WSW,260,W
06/06/2015,14.5,0,12.3,12,Moderate,27,82,1,3900,1025,260,W,240,WSW
07/06/2015,14.0,0,13.1,5,Light,17,86,0,3400,1032,350,N,340,NNW
08/06/2015,14.0,tr,6.4,7,Light,19,79,4,3600,1033,360,N,40,NE
09/06/2015,11.4,0,2.5,10,Light,24,81,5,3700,1033,40,NE,30,NNE
10/06/2015,14.3,0,7.2,10,Light,24,67,4,3600,1028,50,NE,50,NE
11/06/2015,17.1,tr,13.9,10,Light,26,84,0,2700,1019,60,ENE,100,E
12/06/2015,19.2,0.4,1.2,6,Light,14,90,3,1800,1009,50,NE,50,NE
13/06/2015,17.4,tr,0.9,9,Light,25,96,7,2400,1009,240,WSW,260,W
14/06/2015,15.3,0.2,0.3,7,Light,21,93,7,2600,1014,340,NNW,30,NNE
15/06/2015,16.0,0,5.2,7,Light,19,85,5,3800,1022,40,NE,70,ENE
16/06/2015,16.9,0,6.5,6,Light,20,78,3,3700,1025,210,SSW,250,WSW
17/06/2015,18.9,tr,3.4,11,Moderate,29,85,4,3500,1023,260,W,240,WSW
18/06/2015,18.1,0,10.3,7,Light,18,86,3,3200,1021,330,NNW,350,N
19/06/2015,16.7,tr,9.1,6,Light,19,71,3,3200,1022,320,NW,320,NW
20/06/2015,16.7,2.6,0.1,6,Light,21,89,6,2800,1021,220,SW,270,W
21/06/2015,17.6,5.8,3.6,12,Moderate,24,88,5,3200,1016,260,W,250,WSW
22/06/2015,14.7,0.2,3.6,9,Light,23,93,6,3600,1011,250,WSW,310,NW
23/06/2015,16.6,0,3.8,5,Light,16,79,5,3800,1018,340,NNW,20,NNE
24/06/2015,18.4,0,6.3,8,Light,20,84,3,4000,1020,220,SW,210,SSW
25/06/2015,18.5,0,9.5,6,Light,17,87,2,3200,1021,220,SW,220,SW
26/06/2015,20.6,0,4.8,9,Light,24,75,3,3800,1017,220,SW,220,SW
27/06/2015,18.4,tr,8.8,8,Light,18,88,2,3400,1019,270,W,250,WSW
28/06/2015,18.4,1.6,2,9,Light,19,81,4,3600,1020,220,SW,240,WSW
29/06/2015,19.6,0,13,6,Light,19,83,3,2900,1022,260,W,210,SSW
30/06/2015,23.0,tr,14.7,7,Light,20,81,0,3200,1019,150,SSE,130,SE
01/07/2015,28.7,0,10.4,10,Light,26,65,2,2700,1012,150,SSE,160,SSE
02/07/2015,21.8,tr,5.4,7,Light,25,88,2,2500,1019,270,W,250,WSW
03/07/2015,20.1,9.4,11.7,8,Light,22,85,0,3500,1023,90,E,110,ESE
04/07/2015,22.2,tr,11.8,9,Light,23,97,2,2600,1018,220,SW,220,SW
05/07/2015,19.3,tr,5.1,8,Light,26,81,4,2900,1018,250,WSW,240,WSW
06/07/2015,18.1,tr,9,9,Light,23,89,1,2700,1018,220,SW,230,SW
07/07/2015,19.7,0.2,6.4,13,Moderate,32,79,3,3300,1009,260,W,260,W
08/07/2015,17.6,0.4,2.3,12,Moderate,27,90,6,3700,1012,300,WNW,300,WNW
09/07/2015,17.0,0,13.7,6,Light,19,78,1,2400,1022,290,WNW,230,SW
10/07/2015,19.9,0,12.2,7,Light,21,80,0,2600,1020,190,S,180,S
11/07/2015,20.2,0.8,11.8,9,Light,23,75,2,2700,1017,270,W,240,WSW
12/07/2015,18.9,4.4,0.2,11,Moderate,26,93,7,2500,1017,220,SW,240,WSW
13/07/2015,18.6,1,0,11,Moderate,28,95,7,2100,1015,220,SW,230,SW
14/07/2015,19.9,2.4,0.5,8,Light,17,94,8,2500,1017,260,W,250,WSW
15/07/2015,19.8,tr,1.1,5,Light,15,97,7,2000,1018,220,SW,230,SW
16/07/2015,20.1,6.8,1.9,9,Light,20,90,5,1900,1016,90,E,70,ENE
17/07/2015,20.0,tr,5.1,11,Moderate,27,92,4,3100,1012,210,SSW,210,SSW
18/07/2015,17.9,0.8,10.6,8,Light,19,88,3,3400,1016,220,SW,220,SW
19/07/2015,19.4,0.2,10.4,10,Light,27,87,5,2900,1011,260,W,250,WSW
20/07/2015,19.4,tr,0.4,9,Light,26,93,6,2800,1010,210,SSW,210,SSW
21/07/2015,19.9,0,10.5,11,Moderate,25,88,2,2500,1012,220,SW,230,SW
22/07/2015,18.8,0.4,6.3,9,Light,23,86,4,2300,1015,220,SW,230,SW
23/07/2015,16.9,tr,4.7,6,Light,25,88,5,2200,1017,270,W,240,WSW
24/07/2015,16.2,37.6,0,6,Light,20,95,8,1300,1010,50,NE,60,ENE
25/07/2015,16.6,1.6,9.4,9,Light,24,91,5,3000,1013,300,WNW,280,W
26/07/2015,15.6,5.6,0.1,10,Light,23,93,8,1800,1005,230,SW,160,SSE
27/07/2015,16.8,tr,1.2,16,Moderate,31,91,8,3300,1000,250,WSW,270,W
28/07/2015,16.9,tr,5.2,15,Moderate,27,82,6,3300,1006,260,W,270,W
29/07/2015,15.0,0.2,4.1,9,Light,19,87,6,2400,1011,260,W,270,W
30/07/2015,15.3,0,8.1,6,Light,17,84,4,2300,1018,310,NW,270,W
31/07/2015,15.7,tr,10.1,5,Light,17,86,2,2300,1018,210,SSW,130,SE
01/08/2015,15.5,0,7.4,6,Light,19,88,2,2600,1017,250,WSW,240,WSW
02/08/2015,19.2,0,11.9,7,Light,23,92,3,2200,1016,180,S,160,SSE
03/08/2015,20.4,tr,2.3,11,Moderate,26,82,5,2100,1011,210,SSW,200,SSW
04/08/2015,17.9,0,6.4,13,Moderate,28,84,5,2400,1013,230,SW,250,WSW
05/08/2015,18.4,4.2,0.9,6,Light,18,87,8,2200,1013,160,SSE,130,SE
06/08/2015,18.8,tr,6.2,9,Light,22,90,5,2300,1013,220,SW,210,SSW
07/08/2015,18.7,0,9.8,4,Light,17,81,5,2000,1018,280,W,230,SW
08/08/2015,20.6,0,9.5,6,Light,16,90,2,2000,1023,220,SW,220,SW
09/08/2015,19.6,0,11.7,7,Light,19,86,2,2500,1020,230,SW,220,SW
10/08/2015,19.9,tr,0.9,9,Light,25,85,7,2500,1017,210,SSW,200,SSW
11/08/2015,17.6,1.8,1.6,3,Light,10,91,8,1900,1020,290,WNW,290,WNW
12/08/2015,19.2,tr,3.2,7,Light,19,89,6,1800,1023,60,ENE,70,ENE
13/08/2015,18.2,7.4,0,7,Light,21,93,8,900,1014,50,NE,70,ENE
14/08/2015,19.4,1.4,0.4,6,Light,22,97,8,900,1006,300,WNW,210,SSW
15/08/2015,17.5,0,5.3,5,Light,15,90,7,900,1012,300,WNW,320,NW
16/08/2015,16.1,0,3.4,4,Light,13,81,7,3100,1017,320,NW,120,ESE
17/08/2015,17.7,0,6.5,5,Light,15,85,6,2900,1018,10,N,320,NW
18/08/2015,16.8,0.2,0,8,Light,17,81,8,2700,1015,290,WNW,250,WSW
19/08/2015,17.2,6.6,2.5,8,Light,20,97,7,2500,1017,210,SSW,210,SSW
20/08/2015,18.1,tr,0.4,8,Light,18,99,8,3100,1019,200,SSW,220,SW
21/08/2015,22.2,0,8,9,Light,21,90,5,3600,1020,180,S,200,SSW
22/08/2015,22.9,0,9,8,Light,23,94,3,3100,1014,150,SSE,160,SSE
23/08/2015,19.7,5.4,3.7,8,Light,22,88,3,3600,1003,210,SSW,210,SSW
24/08/2015,14.8,11.4,0,7,Light,20,96,8,1800,1000,50,NE,290,WNW
25/08/2015,15.1,5.6,3.5,11,Moderate,23,96,6,2500,1008,220,SW,210,SSW
26/08/2015,17.0,51.6,3.4,12,Moderate,29,98,6,1500,1004,210,SSW,230,SW
27/08/2015,16.6,tr,2.9,9,Light,23,93,6,2900,1007,230,SW,230,SW
28/08/2015,16.0,tr,8.8,8,Light,22,95,3,2900,1016,220,SW,210,SSW
29/08/2015,18.2,3.2,3.5,5,Light,16,93,7,2700,1020,180,S,190,S
30/08/2015,18.2,14,1,6,Light,15,95,8,2000,1017,30,NNE,10,N
31/08/2015,15.2,4,0,5,Light,15,98,8,2000,1014,350,N,20,NNE
01/09/2015,16.3,0.2,3.1,5,Light,17,94,7,2600,1018,310,NW,340,NNW
02/09/2015,14.3,tr,5.5,5,Light,14,95,5,2900,1018,300,WNW,280,W
03/09/2015,13.0,tr,1.5,6,Light,17,92,7,3900,1016,310,NW,30,NNE
04/09/2015,13.7,0.6,1.5,5,Light,15,80,7,4300,1018,290,WNW,320,NW
05/09/2015,12.6,tr,0.8,5,Light,16,97,5,2800,1022,280,W,30,NNE
06/09/2015,12.8,0,11.6,4,Light,14,94,1,2400,1028,310,NW,290,WNW
07/09/2015,13.9,0,9.8,5,Light,17,93,1,2700,1031,20,NNE,30,NNE
08/09/2015,13.3,tr,1.4,5,Light,12,90,7,3500,1028,30,NNE,30,NNE
09/09/2015,16.2,0.4,2.1,8,Light,20,87,6,3000,1023,50,NE,100,E
10/09/2015,16.5,0,11.9,8,Light,22,95,0,2200,1021,80,E,100,E
11/09/2015,17.1,0.4,10,8,Light,20,93,3,2200,1014,60,ENE,120,ESE
12/09/2015,18.3,0,4.9,10,Light,26,92,6,3300,1008,260,W,220,SW
13/09/2015,15.0,10.2,2.3,6,Light,17,91,7,2800,1006,100,E,130,SE
14/09/2015,15.8,1,3.1,11,Moderate,30,98,6,2200,995,210,SSW,220,SW
15/09/2015,15.1,0.4,1.1,11,Moderate,25,93,6,2800,996,190,S,250,WSW
16/09/2015,13.3,19,0.1,7,Light,21,97,8,1400,989,60,ENE,70,ENE
17/09/2015,13.8,tr,7.3,8,Light,21,96,5,2400,1000,270,W,260,W
18/09/2015,15.6,9.6,2.4,5,Light,22,96,5,2100,1011,190,S,30,NNE
19/09/2015,15.2,0,8.1,3,Light,12,98,3,2000,1025,340,NNW,360,N
20/09/2015,14.7,tr,7.5,6,Light,16,97,2,2000,1025,240,WSW,250,WSW
21/09/2015,13.9,5.8,0.3,8,Light,18,97,7,1900,1012,200,SSW,210,SSW
22/09/2015,12.0,0.2,0.7,6,Light,24,98,6,3100,1002,330,NNW,310,NW
23/09/2015,12.7,2,6.2,9,Light,22,92,4,3500,1012,280,W,260,W
24/09/2015,15.7,tr,5.3,11,Moderate,27,97,6,2600,1014,260,W,240,WSW
25/09/2015,13.2,0.2,7.3,5,Light,13,95,2,2100,1023,290,WNW,310,NW
26/09/2015,12.4,tr,8.4,4,Light,13,94,3,2000,1029,50,NE,20,NNE
27/09/2015,13.6,0,8.5,6,Light,23,93,2,2900,1034,70,ENE,130,SE
28/09/2015,13.7,0,10,7,Light,22,96,1,2800,1036,80,E,100,E
29/09/2015,14.8,0,8.9,8,Light,22,91,1,2600,1035,60,ENE,90,E
30/09/2015,14.2,0,10.7,9,Light,26,89,0,2500,1033,50,NE,100,E
01/10/2015,14.1,0,10.6,7,Light,22,92,1,2400,1031,60,ENE,60,ENE
02/10/2015,13.8,0,10.5,5,Light,13,96,0,1700,1025,40,NE,90,E
03/10/2015,12.5,0,2.9,4,Light,12,93,4,600,1015,360,N,160,SSE
04/10/2015,12.7,0.4,8.1,5,Light,17,92,3,1100,1014,90,E,70,ENE
05/10/2015,14.3,11,0,10,Light,22,99,8,900,1004,140,SE,130,SE
06/10/2015,17.1,5.4,2.3,8,Light,26,99,7,1500,997,140,SE,190,S
07/10/2015,15.0,tr,0.2,9,Light,22,98,8,2300,1009,260,W,270,W
08/10/2015,11.7,0.2,6,4,Light,11,94,5,2800,1021,260,W,260,W
09/10/2015,12.1,0,6.3,3,Light,12,99,2,1800,1023,270,W,80,E
10/10/2015,12.1,0,0.1,5,Light,15,96,6,1800,1020,60,ENE,90,E
11/10/2015,12.7,0,5.4,6,Light,18,93,8,1300,1017,40,NE,70,ENE
12/10/2015,11.1,tr,5.4,6,Light,16,85,5,1700,1020,360,N,340,NNW
13/10/2015,10.4,tr,3.2,7,Light,21,86,6,2400,1023,20,NNE,10,N
14/10/2015,9.6,0.6,5.3,7,Light,21,91,4,2900,1023,360,N,20,NNE
15/10/2015,11.2,tr,1.7,7,Light,18,91,7,2100,1021,360,N,40,NE
16/10/2015,12.2,tr,0.1,9,Light,25,87,8,1400,1022,360,N,40,NE
17/10/2015,11.7,0,0,7,Light,21,89,8,1900,1020,10,N,20,NNE
18/10/2015,13.3,0.4,2.5,5,Light,15,92,7,2000,1021,20,NNE,350,N
19/10/2015,12.8,0.2,0,5,Light,13,90,7,2100,1025,20,NNE,360,N
20/10/2015,12.0,3.8,3.4,4,Light,12,94,4,2000,1027,300,WNW,350,N
21/10/2015,11.8,1.6,0,8,Light,17,96,8,1200,1018,220,SW,200,SSW
22/10/2015,12.5,0.2,0,8,Light,22,94,8,2100,1017,300,WNW,300,WNW
23/10/2015,12.0,tr,0,5,Light,13,86,8,2000,1021,260,W,220,SW
24/10/2015,12.7,3.4,0,6,Light,23,96,7,2100,1015,180,S,360,N
25/10/2015,8.0,0,5.5,4,Light,11,97,1,2300,1025,270,W,140,SE
26/10/2015,11.2,0,5.5,8,Light,18,97,5,1200,1015,90,E,140,SE
27/10/2015,14.9,4.8,2.4,7,Light,19,99,7,1500,1009,90,E,120,ESE
28/10/2015,13.9,0.2,1.7,6,Light,14,99,5,1700,1007,270,W,230,SW
29/10/2015,12.1,7,0.1,9,Light,25,99,7,1200,1012,160,SSE,180,S
30/10/2015,13.9,0.4,0,9,Light,21,100,8,2000,1018,160,SSE,150,SSE
31/10/2015,14.1,0.2,5,4,Light,11,97,4,900,1022,130,SE,120,ESE
