Date,Daily Mean Air Temperature,Rainfall (24 hour total),Daily Mean Pressure (hPa),Daily Mean Wind Speed,Daily Mean Windspeed (Beaufort conversion)
05/10/2015,19.9,0.0,1007,5.5,Light
06/10/2015,19.7,0.0,1013,6.5,Light
07/10/2015,20.8,0.0,1016,4.5,Light
08/10/2015,21.3,0.0,1017,5.0,Light
09/10/2015,24.0,0.0,1018,4.5,Light
10/10/2015,23.4,1.1,1015,3.9,Light
11/10/2015,20.8,0.5,1012,4.4,Light
12/10/2015,20.1,0.0,1013,4.9,Light
13/10/2015,20.6,0.0,1012,3.9,Light
14/10/2015,23.9,0.0,1013,6.0,Light
15/10/2015,19.1,0.0,1018,2.8,Light
16/10/2015,19.9,0.0,1020,0.9,Light
17/10/2015,19.5,0.0,1019,5.6,Light
18/10/2015,17.4,0.0,1022,10.5,Light
19/10/2015,15.2,0.0,1027,9.6,Light
20/10/2015,18.1,0.0,1026,12.3,Moderate
21/10/2015,20.9,0.0,1024,10.0,Light
22/10/2015,22.1,1.6,1023,8.1,Light
23/10/2015,22.2,0.0,1021,6.3,Light
24/10/2015,21.8,0.0,1020,6.3,Light
25/10/2015,23.0,0.0,1019,6.5,Light
26/10/2015,23.0,0.0,1018,7.6,Light
27/10/2015,22.6,0.6,1017,6.3,Light
28/10/2015,24.1,1.6,1012,6.0,Light
29/10/2015,22.2,0.0,1012,6.0,Light
30/10/2015,20.4,0.0,1015,3.5,Light
31/10/2015,19.0,0.0,1018,3.1,Light
