Date,Daily Mean Air Temperature,Rainfall (24 hour total),Daily Mean Pressure (hPa),Daily Mean Wind Speed,Daily Mean Windspeed (Beaufort conversion),
13/09/2015,12.1,7.0,1025,7.5,Light,
14/09/2015,13.7,0.0,1027,8.8,Light,
15/09/2015,11.8,0.0,1027,8.5,Light,
16/09/2015,13.6,0.0,1026,8.1,Light,
17/09/2015,15.5,0.0,1023,4.8,Light,
18/09/2015,17.7,0.0,1022,8.9,Light,
19/09/2015,14.1,0.0,1027,11.6,Moderate,
20/09/2015,14.2,0.0,1029,9.4,Light,
21/09/2015,16.4,0.0,1027,12.5,Moderate,
22/09/2015,19.1,0.0,1025,10.8,Light,
23/09/2015,22.2,0.0,1022,9.2,Light,
24/09/2015,20.1,0.0,1018,8.7,Light,
25/09/2015,15.7,0.0,1022,9.1,Light,
26/09/2015,17.1,0.0,1023,10.6,Light,
27/09/2015,18.7,0.0,1020,13.4,Moderate,
28/09/2015,18.0,0.0,1016,7.0,Light,
29/09/2015,15.6,0.0,1020,6.4,Light,
30/09/2015,17.9,0.0,1024,6.8,Light,
01/10/2015,19.9,0.0,1020,7.2,Light,
02/10/2015,19.6,0.0,1020,5.4,Light,
03/10/2015,19.7,0.2,1022,7.6,Light,
04/10/2015,19.3,0.4,1018,10.5,Light,
05/10/2015,13.9,2.0,1024,13.0,Moderate,
06/10/2015,15.0,0.0,1027,9.9,Light,
07/10/2015,19.8,0.0,1021,9.0,Light,
08/10/2015,21.9,0.0,1020,9.0,Light,
09/10/2015,23.0,0.0,1020,5.3,Light,
10/10/2015,23.9,0.0,1021,6.6,Light,
11/10/2015,25.1,0.0,1019,9.8,Light,
12/10/2015,22.4,0.0,1016,7.6,Light,
13/10/2015,20.1,0.0,1013,6.9,Light,
14/10/2015,16.4,6.2,1017,9.7,Light,
15/10/2015,12.8,2.0,1023,7.9,Light,
16/10/2015,15.7,0.0,1021,8.9,Light,
17/10/2015,19.6,0.0,1015,8.6,Light,
18/10/2015,16.0,1.4,1019,8.7,Light,
19/10/2015,15.3,0.8,1022,7.3,Light,
20/10/2015,19.9,0.0,1019,8.8,Light,
21/10/2015,22.1,0.0,1015,8.4,Light,
22/10/2015,19.4,0.0,1015,7.8,Light,
23/10/2015,17.8,0.0,1018,11.1,Moderate,
24/10/2015,19.3,0.0,1018,12.4,Moderate,
25/10/2015,19.7,1.8,1018,10.1,Light,
26/10/2015,21.3,0.6,1016,12.3,Moderate,
27/10/2015,21.0,2.0,1014,9.9,Light,
28/10/2015,20.6,2.6,1015,7.4,Light,
29/10/2015,21.0,0.2,1015,6.7,Light,
30/10/2015,20.8,12.0,1015,7.8,Light,
31/10/2015,18.8,10.4,1016,8.5,Light,
