Date,Daily Mean Air Temperature,Rainfall (24 hour total),Daily Mean Pressure (hPa),Daily Mean Wind Speed,Daily Mean Windspeed (Beaufort conversion)
25/08/1987,10.3,25.0,1011,7.2,Light
26/08/1987,11.7,7.0,1025,6.8,Light
27/08/1987,12.4,0.0,1027,5.0,Light
28/08/1987,13.3,0.0,1024,4.4,Light
29/08/1987,15.0,0.0,1023,5.3,Light
30/08/1987,15.0,0.0,1024,12.0,Moderate
31/08/1987,14.8,0.0,1019,9.2,Light
01/09/1987,13.8,0.0,1021,7.3,Light
02/09/1987,13.1,0.0,1025,5.7,Light
03/09/1987,13.8,0.0,1025,5.5,Light
04/09/1987,13.9,0.0,1023,4.0,Light
05/09/1987,15.4,0.0,1024,6.7,Light
06/09/1987,14.3,0.0,1030,5.0,Light
07/09/1987,14.8,0.0,1031,5.7,Light
08/09/1987,17.0,0.0,1027,5.3,Light
09/09/1987,18.0,0.0,1022,5.8,Light
10/09/1987,19.3,0.0,1019,7.0,Light
11/09/1987,18.7,0.0,1022,8.8,Light
12/09/1987,18.6,0.0,1024,14.8,Moderate
13/09/1987,21.4,0.0,1025,10.2,Light
14/09/1987,20.3,0.0,1023,4.3,Light
15/09/1987,19.6,0.0,1022,3.2,Light
16/09/1987,19.9,0.0,1019,2.4,Light
17/09/1987,18.8,0.0,1014,10.5,Light
18/09/1987,14.9,8.0,1016,6.8,Light
19/09/1987,14.2,0.0,1023,4.2,Light
20/09/1987,15.8,0.0,1021,3.3,Light
21/09/1987,17.9,0.0,1016,3.2,Light
22/09/1987,18.2,0.0,1012,7.0,Light
23/09/1987,14.0,21.0,1016,8.5,Light
24/09/1987,14.2,0.0,1019,4.0,Light
25/09/1987,16.2,0.0,1012,11.7,Moderate
26/09/1987,10.0,9.0,1016,8.3,Light
27/09/1987,11.3,4.0,1024,7.0,Light
28/09/1987,12.4,0.0,1026,6.3,Light
29/09/1987,15.7,0.0,1027,10.8,Light
30/09/1987,19.3,0.0,1024,9.0,Light
01/10/1987,21.4,0.0,1021,7.2,Light
02/10/1987,22.9,0.0,1014,8.8,Light
03/10/1987,16.2,0.2,1018,6.0,Light
04/10/1987,20.8,1.0,1017,8.7,Light
05/10/1987,20.0,0.0,1014,4.8,Light
06/10/1987,16.7,5.4,1016,5.2,Light
07/10/1987,16.8,0.4,1016,7.3,Light
08/10/1987,16.7,0.0,1019,7.8,Light
09/10/1987,18.5,0.0,1022,9.7,Light
10/10/1987,16.4,0.0,1020,21.8,Fresh
11/10/1987,20.7,0.0,1013,14.6,Moderate
12/10/1987,18.1,0.0,1010,7.2,Light
13/10/1987,16.9,3.0,1012,11.8,Moderate
14/10/1987,12.3,4.8,1015,10.8,Light
15/10/1987,14.2,2.0,1020,6.8,Light
16/10/1987,15.7,0.0,1020,6.4,Light
17/10/1987,17.1,0.0,1020,11.5,Moderate
18/10/1987,18.5,0.0,1014,7.8,Light
19/10/1987,17.4,0.0,1015,7.0,Light
20/10/1987,17.7,0.0,1017,7.3,Light
21/10/1987,15.8,0.0,1019,10.8,Light
22/10/1987,15.2,0.0,1019,9.7,Light
23/10/1987,17.0,0.0,1019,8.2,Light
24/10/1987,17.3,0.0,1019,8.2,Light
25/10/1987,17.6,0.0,1018,9.5,Light
26/10/1987,17.0,0.0,1019,11.7,Moderate
27/10/1987,16.5,0.0,1018,8.4,Light
28/10/1987,24.5,0.0,1011,6.8,Light
29/10/1987,20.0,0.0,1011,8.2,Light
30/10/1987,18.3,3.0,1012,7.3,Light
31/10/1987,12.9,7.0,1012,6.8,Light
