Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity,Daily Mean Total Cloud (oktas),Daily Mean Visibility (Dm),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
25/08/1987,13.2,8.8,0,7,Light,19,94,7,1200,1007,300,WNW,290,WNW
26/08/1987,14.0,2.1,2.4,5,Light,19,95,7,1700,1005,310,NW,300,WNW
27/08/1987,13.8,0.1,1.2,6,Light,21,95,6,1500,1018,320,NW,340,NNW
28/08/1987,16.8,0,8.2,5,Light,15,93,4,1600,1024,250,WSW,250,WSW
29/08/1987,17.6,tr,1.4,3,Light,8,97,6,1300,1025,350,N,250,WSW
30/08/1987,17.0,0,4.9,3,Light,16,100,4,500,1023,320,NW,90,E
31/08/1987,16.4,0,6.8,7,Light,20,96,3,1800,1020,80,E,60,ENE
01/09/1987,18.1,5.7,3.7,2,Light,8,96,4,400,1014,360,N,160,SSE
02/09/1987,18.7,tr,0,3,Light,14,95,8,300,1017,20,NNE,180,S
03/09/1987,18.9,1.2,1.9,6,Light,19,96,5,1100,1014,180,S,200,SSW
04/09/1987,15.8,1.8,8.4,5,Light,20,96,3,3000,1017,210,SSW,270,W
05/09/1987,16.3,2,4.8,7,Light,25,92,5,2700,1010,250,WSW,210,SSW
06/09/1987,14.8,1,0.5,9,Light,29,95,6,2700,1014,220,SW,200,SSW
07/09/1987,15.4,0.2,5.5,4,Light,20,93,5,3700,1017,260,W,190,S
08/09/1987,14.4,0,9,3,Light,18,99,4,2100,1020,0,N,190,S
09/09/1987,16.0,1.5,6.3,6,Light,20,92,7,2100,1018,210,SSW,210,SSW
10/09/1987,17.1,0,8.3,8,Light,24,92,7,3300,1014,240,WSW,240,WSW
11/09/1987,16.1,0.5,4.2,8,Light,28,95,7,2600,1013,210,SSW,200,SSW
12/09/1987,18.9,6.5,1,11,Moderate,32,93,7,2200,1007,220,SW,230,SW
13/09/1987,14.9,tr,0.5,3,Light,13,100,7,1700,1012,210,SSW,230,SW
14/09/1987,15.6,tr,9.3,7,Light,24,91,3,3600,1017,240,WSW,240,WSW
15/09/1987,14.4,tr,4,4,Light,19,93,6,2700,1024,210,SSW,200,SSW
16/09/1987,16.1,0.1,0,4,Light,15,91,8,1600,1022,90,E,90,E
17/09/1987,19.4,1.9,5.3,5,Light,21,97,7,1000,1018,240,WSW,220,SW
18/09/1987,18.1,0.6,8.7,4,Light,12,97,6,1700,1024,360,N,340,NNW
19/09/1987,14.8,5.2,0,3,Light,14,98,7,500,1019,110,ESE,150,SSE
20/09/1987,18.4,tr,6.8,5,Light,22,100,4,600,1013,210,SSW,190,S
21/09/1987,18.7,0.1,3.4,6,Light,24,93,7,500,1010,190,S,190,S
22/09/1987,16.0,0,8.1,6,Light,18,92,5,2900,1012,210,SSW,230,SW
23/09/1987,15.2,6.6,4.9,6,Light,22,94,5,2500,1009,210,SSW,190,S
24/09/1987,13.5,2,7.5,6,Light,19,95,3,3400,1006,240,WSW,250,WSW
25/09/1987,11.0,tr,8.1,3,Light,13,97,2,2300,1008,280,W,290,WNW
26/09/1987,9.5,tr,8.4,5,Light,23,95,2,2300,1014,360,N,350,N
27/09/1987,10.1,0,5.6,2,Light,8,91,5,2700,1025,350,N,340,NNW
28/09/1987,11.6,0,0.8,3,Light,10,79,7,1900,1028,360,N,70,ENE
29/09/1987,10.4,tr,5.8,4,Light,14,92,5,1600,1029,50,NE,80,E
30/09/1987,12.4,0,6.4,5,Light,17,97,5,1400,1024,90,E,70,ENE
01/10/1987,12.4,0,9.7,5,Light,18,91,2,600,1022,20,NNE,100,E
02/10/1987,14.1,0.2,4,7,Light,19,95,6,500,1021,80,E,90,E
03/10/1987,15.8,10.3,5.3,8,Light,21,91,7,700,1021,80,E,70,ENE
04/10/1987,16.4,tr,4.2,5,Light,16,98,7,1000,1013,90,E,200,SSW
05/10/1987,16.3,0.2,2.5,5,Light,18,100,7,800,1004,180,S,160,SSE
06/10/1987,13.7,5.3,3,6,Light,26,93,4,2700,998,220,SW,240,WSW
07/10/1987,11.7,13.8,0,9,Light,25,97,7,1800,992,180,S,190,S
08/10/1987,11.2,0.3,6.3,11,Moderate,37,94,4,4200,991,260,W,270,W
09/10/1987,10.4,53.1,0.2,9,Light,28,98,8,1800,999,190,S,180,S
10/10/1987,9.4,12.5,0,5,Light,17,98,8,1000,992,320,NW,300,WNW
11/10/1987,9.3,tr,7.2,5,Light,18,92,4,3600,1002,210,SSW,100,E
12/10/1987,10.5,1.8,9.1,4,Light,23,96,4,2800,1004,230,SW,220,SW
13/10/1987,11.1,1,6.4,5,Light,25,99,5,2500,1000,200,SSW,270,W
14/10/1987,9.0,10.4,3.5,6,Light,23,96,5,2400,997,200,SSW,90,E
15/10/1987,13.1,17.3,0,8,Light,40,99,7,2100,981,210,SSW,180,S
16/10/1987,11.5,6.3,5.1,16,Moderate,66,92,5,2400,988,230,SW,210,SSW
17/10/1987,11.9,0.1,5.6,6,Light,20,92,5,2200,1013,170,S,210,SSW
18/10/1987,13.5,1.4,5.4,13,Moderate,33,84,7,2600,1013,160,SSE,140,SE
19/10/1987,14.7,1.2,1.2,7,Light,19,93,7,1900,1011,110,ESE,110,ESE
20/10/1987,12.8,35.5,0,4,Light,13,99,8,400,1007,110,ESE,120,ESE
21/10/1987,12.8,0.4,2.8,7,Light,23,99,5,2200,1007,190,S,160,SSE
22/10/1987,10.6,0,8.8,3,Light,12,92,2,2800,1018,190,S,200,SSW
23/10/1987,6.8,0,1.4,4,Light,11,98,5,700,1022,20,NNE,350,N
24/10/1987,8.5,0,8.6,2,Light,8,95,2,1100,1026,360,N,350,N
25/10/1987,7.3,tr,6.8,3,Light,n/a,98,1,400,1027,320,NW,150,SSE
26/10/1987,8.2,2.4,0,4,Light,13,99,7,300,1021,120,ESE,130,SE
27/10/1987,12.5,0.2,0,6,Light,20,100,8,400,1010,80,E,140,SE
28/10/1987,9.2,tr,9,3,Light,12,94,2,1900,1018,270,W,260,W
29/10/1987,6.9,0,4.5,3,Light,15,96,4,500,1019,50,NE,110,ESE
30/10/1987,8.7,0.2,0,4,Light,14,99,8,400,1016,90,E,100,E
31/10/1987,11.2,0.9,0,2,Light,10,98,8,400,1016,80,E,140,SE
