Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity,Daily Mean Total Cloud (oktas),Daily Mean Visibility (Dm),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
19/09/1987,15.7,3.5,0.6,3,Light,20,100,7,300,1018,130,SE,290,WNW
20/09/1987,16.4,tr,0.4,5,Light,16,100,8,300,1014,180,S,230,SW
21/09/1987,17.6,1,0.5,8,Light,23,96,8,500,1010,190,S,220,SW
22/09/1987,14.5,0,10,8,Light,23,95,4,2700,1013,210,SSW,200,SSW
23/09/1987,15.0,6.5,4.6,8,Light,28,95,5,2700,1009,200,SSW,200,SSW
24/09/1987,12.6,0.9,6.3,5,Light,22,96,3,2900,1007,250,WSW,330,NNW
25/09/1987,9.5,0,9.3,3,Light,n/a,99,2,3600,1009,320,NW,290,WNW
26/09/1987,8.3,0,10.3,6,Light,21,98,2,3200,1014,20,NNE,20,NNE
27/09/1987,7.5,0,3.8,3,Light,n/a,98,5,2100,1025,999,N,320,NW
28/09/1987,9.6,0,2.5,3,Light,n/a,97,6,1300,1028,30,NNE,10,N
29/09/1987,7.5,0,9.2,4,Light,n/a,98,1,900,1028,330,NNW,40,NE
30/09/1987,11.9,0,5.8,6,Light,20,89,6,2000,1023,60,ENE,120,ESE
01/10/1987,10.1,0,9.6,4,Light,15,98,2,700,1021,40,NE,110,ESE
02/10/1987,10.8,6.4,0,5,Light,18,100,6,300,1019,100,E,110,ESE
03/10/1987,15.5,10.4,1.8,6,Light,25,97,8,500,1018,90,E,110,ESE
04/10/1987,15.9,0,5.5,4,Light,13,98,7,600,1012,160,SSE,120,ESE
05/10/1987,15.4,1.6,3.4,5,Light,24,100,7,800,1003,90,E,200,SSW
06/10/1987,13.6,17.1,4.9,8,Light,39,97,5,2600,1000,230,SW,310,NW
07/10/1987,11.0,17,0,14,Moderate,38,100,8,1300,992,210,SSW,190,S
08/10/1987,11.0,6.3,6.4,13,Moderate,44,95,5,2200,994,280,W,270,W
09/10/1987,9.6,25.7,0.1,15,Moderate,36,94,8,1400,999,210,SSW,210,SSW
10/10/1987,8.6,1.5,0.6,8,Light,23,99,7,1900,993,350,N,340,NNW
11/10/1987,8.0,3.1,5.8,5,Light,20,93,5,3300,1002,200,SSW,230,SW
12/10/1987,9.4,1.1,8.9,5,Light,21,98,4,2100,1004,240,WSW,230,SW
13/10/1987,10.3,1.8,7.5,6,Light,26,99,5,2500,1000,250,WSW,240,WSW
14/10/1987,7.6,11.2,0.7,6,Light,28,98,6,2000,996,220,SW,140,SE
15/10/1987,12.3,18.5,0,9,Light,46,99,7,1900,980,30,NNE,180,S
16/10/1987,10.8,2.8,5.2,17,Fresh,61,94,5,2000,989,230,SW,190,S
17/10/1987,12.2,0,7,11,Moderate,31,92,5,2200,1012,220,SW,180,S
18/10/1987,13.9,6.4,2.2,17,Fresh,32,90,7,1900,1011,170,S,150,SSE
19/10/1987,14.7,1.8,3.5,8,Light,25,95,7,1700,1009,150,SSE,200,SSW
20/10/1987,14.2,3.8,0,4,Light,15,99,8,900,1006,150,SSE,160,SSE
21/10/1987,12.7,2.7,5.9,8,Light,24,99,5,2500,1007,200,SSW,190,S
22/10/1987,7.5,0,7.3,3,Light,n/a,100,2,2200,1018,350,N,230,SW
23/10/1987,5.1,tr,1.6,4,Light,n/a,100,5,1000,1021,340,NNW,50,NE
24/10/1987,6.1,0,7.6,3,Light,n/a,100,2,700,1026,340,NNW,20,NNE
25/10/1987,6.3,tr,5.9,3,Light,n/a,99,2,700,1026,320,NW,160,SSE
26/10/1987,7.0,3,0,4,Light,12,99,7,600,1019,60,ENE,200,SSW
27/10/1987,10.6,1,0,6,Light,19,99,8,600,1009,120,ESE,300,WNW
28/10/1987,7.9,0,8.8,4,Light,16,98,2,2200,1019,300,WNW,270,W
29/10/1987,5.3,0,2.2,3,Light,n/a,99,6,700,1018,70,ENE,160,SSE
30/10/1987,8.1,4.4,0,5,Light,14,99,7,500,1015,80,E,130,SE
31/10/1987,11.4,5.1,0.2,2,Light,n/a,100,7,500,1016,110,ESE,120,ESE
